v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,wall_material,floor_material,roof_material,water_provision,toilet_type,cooking_energy,waste_disposal_method,wall_condition,floor_condition,roof_condition,marital_status,family_role,child_ratio,adult_ratio,elder_ratio,education,housing_ownership,electronics,qmobilephone,region,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,Target
190000.0,0,3,0,1,1,0,0.0,0,1,1,0,0,0,0,1,1,1,1,10,0.4597912829957029,1,1,1,2,1,2,3,1,2,1,1,4,1,0.0,1.0,0.0,3,3,2,1,1,1,0,43,100,1849,1,100,0,1.0,0.0,100.0,4
135000.0,0,4,0,1,1,1,1.0,0,1,1,0,0,0,0,1,1,1,1,12,0.4597912829957029,1,5,6,1,1,2,2,1,2,2,2,4,1,0.0,1.0,1.0,7,3,2,1,1,1,0,67,144,4489,1,144,0,1.0,64.0,144.0,4
180000.0,0,5,0,1,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,9,1.0,4,1,1,1,1,2,2,1,3,3,3,7,3,0.5,0.5,0.0,3,3,2,3,1,1,0,17,81,289,16,121,4,1.7777778999999998,1.0,121.0,4
180000.0,0,5,0,1,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,11,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,2,2,0.5,0.5,0.0,4,3,2,3,1,1,0,37,121,1369,16,121,4,1.7777778999999998,1.0,121.0,4
180000.0,0,5,0,1,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,11,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,2,1,0.5,0.5,0.0,4,3,2,3,1,1,0,38,121,1444,16,121,4,1.7777778999999998,1.0,121.0,4
180000.0,0,5,0,1,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,2,0.0,4,1,1,1,1,2,2,1,3,3,3,1,3,0.5,0.5,0.0,1,3,2,3,1,1,0,8,4,64,16,121,4,1.7777778999999998,1.0,121.0,4
130000.0,1,2,0,1,1,0,0.0,0,1,1,2,1,3,2,2,4,4,4,0,0.0,4,1,1,1,1,2,3,1,1,2,1,1,3,0.5,0.5,0.0,0,3,2,1,1,1,0,7,0,49,16,81,4,16.0,1.0,100.0,4
130000.0,1,2,0,1,1,0,0.0,0,1,1,2,1,3,2,2,4,4,4,9,0.4597912829957029,4,1,1,1,1,2,3,1,1,2,1,2,1,0.5,0.5,0.0,3,3,2,1,1,1,0,30,81,900,16,81,4,16.0,1.0,100.0,4
130000.0,1,2,0,1,1,0,0.0,0,1,1,2,1,3,2,2,4,4,4,11,0.4597912829957029,4,1,1,1,1,2,3,1,1,2,1,2,2,0.5,0.5,0.0,4,3,2,1,1,1,0,28,121,784,16,81,4,16.0,1.0,100.0,4
130000.0,1,2,0,1,1,0,0.0,0,1,1,2,1,3,2,2,4,4,4,3,1.0,4,1,1,1,1,2,3,1,1,2,1,7,3,0.5,0.5,0.0,1,3,2,1,1,1,0,11,9,121,16,81,4,16.0,1.0,100.0,4
100000.0,0,3,0,1,1,0,0.0,0,0,0,0,2,2,0,2,2,2,2,12,0.4597912829957029,2,3,1,1,1,2,2,1,3,3,3,7,3,0.5,0.5,0.0,6,2,2,1,1,1,0,18,144,324,4,0,1,1.0,1.0,529.0,4
100000.0,0,3,0,1,1,0,0.0,0,0,0,0,2,2,0,2,2,2,2,11,0.4597912829957029,2,3,1,1,1,2,2,1,3,3,3,5,1,0.5,0.5,0.0,4,2,2,1,1,1,0,34,121,1156,4,0,1,1.0,1.0,529.0,4
90000.0,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,11,0.4597912829957029,4,5,6,1,1,2,2,1,1,1,1,5,3,0.5,0.5,0.25,4,3,2,1,1,1,0,19,121,361,16,0,4,16.0,9.0,289.0,4
90000.0,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,2,0.4597912829957029,4,5,6,1,1,2,2,1,1,1,1,2,2,0.5,0.5,0.25,1,3,2,1,1,1,0,70,4,4900,16,0,4,16.0,9.0,289.0,4
90000.0,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,11,0.4597912829957029,4,5,6,1,1,2,2,1,1,1,1,7,12,0.5,0.5,0.25,4,3,2,1,1,1,0,19,121,361,16,0,4,16.0,9.0,289.0,4
90000.0,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,10,0.4597912829957029,4,5,6,1,1,2,2,1,1,1,1,2,1,0.5,0.5,0.25,3,3,2,1,1,1,0,50,100,2500,16,0,4,16.0,9.0,289.0,4
215000.0,0,4,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,12,0.4597912829957029,2,1,1,1,1,2,3,1,3,3,3,3,2,0.0,1.0,0.0,6,3,2,2,1,1,0,22,144,484,4,225,0,1.0,0.0,182.25,4
215000.0,0,4,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,15,0.4597912829957029,2,1,1,1,1,2,3,1,3,3,3,3,1,0.0,1.0,0.0,7,3,2,2,1,1,0,26,225,676,4,225,0,1.0,0.0,182.25,4
150000.0,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,4,0.4597912829957029,2,5,6,1,1,2,2,1,1,1,1,3,1,0.0,1.0,1.0,1,3,2,1,1,1,0,69,16,4761,4,16,0,4.0,64.0,100.0,4
150000.0,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,16,0.4597912829957029,2,5,6,1,1,2,2,1,1,1,1,3,2,0.0,1.0,1.0,7,3,2,1,1,1,0,66,256,4356,4,16,0,4.0,64.0,100.0,4
100000.0,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,6,0.4597912829957029,3,1,1,1,2,1,2,1,3,3,3,3,1,0.0,1.0,0.0,2,3,2,3,1,1,0,41,36,1681,9,36,0,9.0,0.0,106.77777,4
100000.0,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,13,0.4597912829957029,3,1,1,1,2,1,2,1,3,3,3,5,3,0.0,1.0,0.0,7,3,2,3,1,1,0,20,169,400,9,36,0,9.0,0.0,106.77777,4
100000.0,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,12,0.4597912829957029,3,1,1,1,2,1,2,1,3,3,3,3,2,0.0,1.0,0.0,6,3,2,3,1,1,0,40,144,1600,9,36,0,9.0,0.0,106.77777,4
120000.0,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,0.4597912829957029,3,1,1,1,1,2,3,1,3,3,3,3,1,0.0,1.0,0.3333333333333333,2,3,2,3,1,1,0,69,36,4761,9,36,0,2.25,0.25,44.444443,4
120000.0,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,0.4597912829957029,3,1,1,1,1,2,3,1,3,3,3,3,2,0.0,1.0,0.3333333333333333,2,3,2,3,1,1,0,62,36,3844,9,36,0,2.25,0.25,44.444443,4
120000.0,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,8,0.4597912829957029,3,1,1,1,1,2,3,1,3,3,3,7,3,0.0,1.0,0.3333333333333333,3,3,2,3,1,1,0,33,64,1089,9,36,0,2.25,0.25,44.444443,4
100000.0,0,5,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,8,0.4597912829957029,2,1,1,1,1,2,2,1,2,3,2,3,1,0.0,1.0,0.0,3,3,2,2,1,1,0,35,64,1225,4,64,0,1.0,0.0,90.25,4
100000.0,0,5,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,11,0.4597912829957029,2,1,1,1,1,2,2,1,2,3,2,3,2,0.0,1.0,0.0,4,3,2,2,1,1,0,28,121,784,4,64,0,1.0,0.0,90.25,4
80000.0,0,4,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,6,0.4597912829957029,3,5,6,1,1,3,3,1,1,1,2,2,2,0.3333333333333333,0.6666666666666666,0.0,2,3,2,2,1,1,0,36,36,1296,9,64,1,2.25,0.25,49.0,4
